Time	Distance	Velocity
1.614	0.91263	-0.77272
1.616	0.91108	-0.77664
1.618	0.90952	-0.78054
1.62	0.90796	-0.78443
1.622	0.90638	-0.7883
1.624	0.9048	-0.79215
1.626	0.90322	-0.79599
1.628	0.90162	-0.79981
1.63	0.90002	-0.80361
1.632	0.89841	-0.80739
1.634	0.89679	-0.81116
1.636	0.89516	-0.81491
1.638	0.89353	-0.81864
1.64	0.89189	-0.82236
1.642	0.89024	-0.82606
1.644	0.88858	-0.82974
1.646	0.88692	-0.8334
1.648	0.88525	-0.83705
1.65	0.88357	-0.84067
1.652	0.88189	-0.84429
1.654	0.88019	-0.84788
1.656	0.87849	-0.85146
1.658	0.87679	-0.85502
1.66	0.87507	-0.85856
1.662	0.87335	-0.86208
1.664	0.87163	-0.86559
1.666	0.86989	-0.86908
1.668	0.86815	-0.87255
1.67	0.8664	-0.87601
1.672	0.86465	-0.87944
1.674	0.86288	-0.88287
1.676	0.86111	-0.88627
1.678	0.85934	-0.88965
1.68	0.85756	-0.89302
1.682	0.85577	-0.89637
1.684	0.85397	-0.89971
1.686	0.85217	-0.90302
1.688	0.85036	-0.90632
1.69	0.84854	-0.9096
1.692	0.84672	-0.91286
1.694	0.84489	-0.91611
1.696	0.84306	-0.91934
1.698	0.84121	-0.92255
1.7	0.83937	-0.92574
1.702	0.83751	-0.92892
1.704	0.83565	-0.93208
1.706	0.83378	-0.93522
1.708	0.83191	-0.93834
1.71	0.83003	-0.94145
1.712	0.82814	-0.94454
1.714	0.82625	-0.94761
1.716	0.82435	-0.95066
1.718	0.82245	-0.9537
1.72	0.82054	-0.95671
1.722	0.81862	-0.95972
1.724	0.8167	-0.9627
1.726	0.81477	-0.96567
1.728	0.81284	-0.96861
1.73	0.8109	-0.97154
1.732	0.80895	-0.97446
1.734	0.807	-0.97735
1.736	0.80504	-0.98023
1.738	0.80308	-0.98309
1.74	0.80111	-0.98594
1.742	0.79913	-0.98876
1.744	0.79715	-0.99157
1.746	0.79517	-0.99436
1.748	0.79318	-0.99714
1.75	0.79118	-0.99989
1.752	0.78918	-1.00263
1.754	0.78717	-1.00535
1.756	0.78516	-1.00806
1.758	0.78314	-1.01074
1.76	0.78111	-1.01341
1.762	0.77908	-1.01606
1.764	0.77705	-1.0187
1.766	0.77501	-1.02131
1.768	0.77296	-1.02391
1.77	0.77091	-1.02649
1.772	0.76886	-1.02906
1.774	0.7668	-1.0316
1.776	0.76473	-1.03413
1.778	0.76266	-1.03664
1.78	0.76058	-1.03914
1.782	0.7585	-1.04161
1.784	0.75642	-1.04407
1.786	0.75433	-1.04651
1.788	0.75223	-1.04894
1.79	0.75013	-1.05134
1.792	0.74803	-1.05373
1.794	0.74592	-1.05611
1.796	0.7438	-1.05846
1.798	0.74168	-1.0608
1.8	0.73956	-1.06312
1.802	0.73743	-1.06542
1.804	0.7353	-1.0677
1.806	0.73316	-1.06997
1.808	0.73102	-1.07222
1.81	0.72887	-1.07446
1.812	0.72672	-1.07667
1.814	0.72456	-1.07887
1.816	0.7224	-1.08105
1.818	0.72024	-1.08321
1.82	0.71807	-1.08536
1.822	0.7159	-1.08749
1.824	0.71372	-1.0896
1.826	0.71154	-1.0917
1.828	0.70935	-1.09377
1.83	0.70716	-1.09583
1.832	0.70497	-1.09788
1.834	0.70277	-1.0999
1.836	0.70057	-1.10191
1.838	0.69837	-1.1039
1.84	0.69616	-1.10587
1.842	0.69394	-1.10783
1.844	0.69172	-1.10977
1.846	0.6895	-1.11169
1.848	0.68728	-1.1136
1.85	0.68505	-1.11549
1.852	0.68282	-1.11736
1.854	0.68058	-1.11921
1.856	0.67834	-1.12105
1.858	0.67609	-1.12287
1.86	0.67385	-1.12467
1.862	0.6716	-1.12645
1.864	0.66934	-1.12822
1.866	0.66708	-1.12997
1.868	0.66482	-1.13171
